measurand,submeasurand,direction,kind,display_name_en,display_name_en_muted,display_name_de,display_name_de_muted,comment
Voltage,,,,Voltage,,Spannung,,
Current,,Import,,Current (draw),,Strom (Bezug),,
Current,,Import,Interval Avg,Current (draw),average over interval,Strom (Bezug),Durchschnitt über Zeitintervall,
Current,,Import,Interval Max,Current (draw),maximum in interval,Strom (Bezug),Maximum in Zeitintervall,
Current,,Export,,Current (feed),,Strom (Einspeisung),,
Current,,Export,Interval Avg,Current (feed),average over interval,Strom (Einspeisung),Durchschnitt über Zeitintervall,
Current,,Export,Interval Max,Current (feed),maximum in interval,Strom (Einspeisung),Maximum in Zeitintervall,
Current,,Im Ex Sum,,Current (draw plus feed),,Strom (Bezug plus Einspeisung),,"für Zähler, die immer einen positiven Strom melden, egal ob gerade bezogen oder eingespeist wird. Typischerweise kann die Richtung des Stromflusses dann am Leistungsfaktor o.Ä. abgelesen werden."
Current,,Im Ex Sum,Interval Avg,Current (draw plus feed),average over interval,Strom (Bezug plus Einspeisung),Durchschnitt über Zeitintervall,
Current,,Im Ex Sum,Interval Max,Current (draw plus feed),maximum in interval,Strom (Bezug plus Einspeisung),Maximum in Zeitintervall,
Current,,Im Ex Diff,,Current (draw minus feed),,Strom (Bezug minus Einspeisung),,
Current,,Im Ex Diff,Interval Avg,Current (draw minus feed),average over interval,Strom (Bezug minus Einspeisung),Durchschnitt über Zeitintervall,
Current,,Im Ex Diff,Interval Max,Current (draw minus feed),maximum in interval,Strom (Bezug minus Einspeisung),Maximum in Zeitintervall,
Power,Active,Import,,Active power (draw),,Wirkleistung (Bezug),,
Power,Active,Import,Interval Avg,Active power (draw),average over interval,Wirkleistung (Bezug),Durchschnitt über Zeitintervall,
Power,Active,Import,Interval Max,Active power (draw),maximum in interval,Wirkleistung (Bezug),Maximum in Zeitintervall,
Power,Active,Export,,Active power (feed),,Wirkleistung (Einspeisung),,
Power,Active,Export,Interval Avg,Active power (feed),average over interval,Wirkleistung (Einspeisung),Durchschnitt über Zeitintervall,
Power,Active,Export,Interval Max,Active power (feed),maximum in interval,Wirkleistung (Einspeisung),Maximum in Zeitintervall,
Power,Active,Im Ex Sum,,Active power (draw plus feed),,Wirkleistung (Bezug plus Einspeisung),,"für Zähler, die immer einen positive Wirkleistung melden, egal ob gerade bezogen oder eingespeist wird. Typischerweise kann die Richtung des Stromflusses dann am Leistungsfaktor o.Ä. abgelesen werden."
Power,Active,Im Ex Sum,Interval Avg,Active power (draw plus feed),average over interval,Wirkleistung (Bezug plus Einspeisung),Durchschnitt über Zeitintervall,
Power,Active,Im Ex Sum,Interval Max,Active power (draw plus feed),maximum in interval,Wirkleistung (Bezug plus Einspeisung),Maximum in Zeitintervall,
Power,Active,Im Ex Diff,,Active power (draw minus feed),,Wirkleistung (Bezug minus Einspeisung),,
Power,Active,Im Ex Diff,Interval Avg,Active power (draw minus feed),average over interval,Wirkleistung (Bezug minus Einspeisung),Durchschnitt über Zeitintervall,
Power,Active,Im Ex Diff,Interval Max,Active power (draw minus feed),maximum in interval,Wirkleistung (Bezug minus Einspeisung),Maximum in Zeitintervall,
Power,Reactive,Inductive,,Reactive power (inductive),,Blindleistung (induktiv),,
Power,Reactive,Inductive,Interval Avg,Reactive power (inductive),average over interval,Blindleistung (induktiv),Durchschnitt über Zeitintervall,
Power,Reactive,Inductive,Interval Max,Reactive power (inductive),maximum in interval,Blindleistung (induktiv),Maximum in Zeitintervall,
Power,Reactive,Capacitive,,Reactive power (capacitive),,Blindleistung (kapazitiv),,
Power,Reactive,Capacitive,Interval Avg,Reactive power (capacitive),average over interval,Blindleistung (kapazitiv),Durchschnitt über Zeitintervall,
Power,Reactive,Capacitive,Interval Max,Reactive power (capacitive),maximum in interval,Blindleistung (kapazitiv),Maximum in Zeitintervall,
Power,Reactive,Ind Cap Sum,,Reactive power (inductive plus capacitive),,Blindleistung (induktiv plus kapazitiv),,
Power,Reactive,Ind Cap Sum,Interval Avg,Reactive power (inductive plus capacitive),average over interval,Blindleistung (induktiv plus kapazitiv),Durchschnitt über Zeitintervall,
Power,Reactive,Ind Cap Sum,Interval Max,Reactive power (inductive plus capacitive),maximum in interval,Blindleistung (induktiv plus kapazitiv),Maximum in Zeitintervall,
Power,Reactive,Ind Cap Diff,,Reactive power (inductive minus capacitive),,Blindleistung (induktiv minus kapazitiv),,
Power,Reactive,Ind Cap Diff,Interval Avg,Reactive power (inductive minus capacitive),average over interval,Blindleistung (induktiv minus kapazitiv),Durchschnitt über Zeitintervall,
Power,Reactive,Ind Cap Diff,Interval Max,Reactive power (inductive minus capacitive),maximum in interval,Blindleistung (induktiv minus kapazitiv),Maximum in Zeitintervall,
Power,Apparent,,,Apparent power,,Scheinleistung,,
Power,Apparent,,Interval Avg,Apparent power,average over interval,Scheinleistung,Durchschnitt über Zeitintervall,
Power,Apparent,,Interval Max,Apparent power,maximum in interval,Scheinleistung,Maximum in Zeitintervall,
Energy,Active,Import,,Active energy (draw),since manufacturing,Wirkenergie (Bezug),seit Herstellung,
Energy,Active,Import,Resettable,Active energy (draw),since last reset,Wirkenergie (Bezug),seit letztem Zurücksetzen,
Energy,Active,Import,Interval,Active energy (draw),over interval,Wirkenergie (Bezug),in Zeitintervall,
Energy,Active,Export,,Active energy (feed),since manufacturing,Wirkenergie (Einspeisung),seit Herstellung,
Energy,Active,Export,Resettable,Active energy (feed),since last reset,Wirkenergie (Einspeisung),seit letztem Zurücksetzen,
Energy,Active,Export,Interval,Active energy (feed),over interval,Wirkenergie (Einspeisung),in Zeitintervall,
Energy,Active,Im Ex Sum,,Active energy (draw plus feed),since manufacturing,Wirkenergie (Bezug plus Einspeisung),seit Herstellung,
Energy,Active,Im Ex Sum,Resettable,Active energy (draw plus feed),since last reset,Wirkenergie (Bezug plus Einspeisung),seit letztem Zurücksetzen,
Energy,Active,Im Ex Sum,Interval,Active energy (draw plus feed),over interval,Wirkenergie (Bezug plus Einspeisung),in Zeitintervall,
Energy,Active,Im Ex Diff,,Active energy (draw minus feed),since manufacturing,Wirkenergie (Bezug minus Einspeisung),seit Herstellung,
Energy,Active,Im Ex Diff,Resettable,Active energy (draw minus feed),since last reset,Wirkenergie (Bezug minus Einspeisung),seit letztem Zurücksetzen,
Energy,Active,Im Ex Diff,Interval,Active energy (draw minus feed),over interval,Wirkenergie (Bezug minus Einspeisung),in Zeitintervall,
Energy,Reactive,Inductive,,Reactive energy (inductive),since manufacturing,Blindenergie (induktiv),seit Herstellung,
Energy,Reactive,Inductive,Resettable,Reactive energy (inductive),since last reset,Blindenergie (induktiv),seit letztem Zurücksetzen,
Energy,Reactive,Inductive,Interval,Reactive energy (inductive),over interval,Blindenergie (induktiv),in Zeitintervall,
Energy,Reactive,Capacitive,,Reactive energy (capacitive),since manufacturing,Blindenergie (kapazitiv),seit Herstellung,
Energy,Reactive,Capacitive,Resettable,Reactive energy (capacitive),since last reset,Blindenergie (kapazitiv),seit letztem Zurücksetzen,
Energy,Reactive,Capacitive,Interval,Reactive energy (capacitive),over interval,Blindenergie (kapazitiv),in Zeitintervall,
Energy,Reactive,Ind Cap Sum,,Reactive energy (inductive plus capacitive),since manufacturing,Blindenergie (induktiv plus kapazitiv),seit Herstellung,
Energy,Reactive,Ind Cap Sum,Resettable,Reactive energy (inductive plus capacitive),since last reset,Blindenergie (induktiv plus kapazitiv),seit letztem Zurücksetzen,
Energy,Reactive,Ind Cap Sum,Interval,Reactive energy (inductive plus capacitive),over interval,Blindenergie (induktiv plus kapazitiv),in Zeitintervall,
Energy,Reactive,Ind Cap Diff,,Reactive energy (inductive minus capacitive),since manufacturing,Blindenergie (induktiv minus kapazitiv),seit Herstellung,
Energy,Reactive,Ind Cap Diff,Resettable,Reactive energy (inductive minus capacitive),since last reset,Blindenergie (induktiv minus kapazitiv),seit letztem Zurücksetzen,
Energy,Reactive,Ind Cap Diff,Interval,Reactive energy (inductive minus capacitive),over interval,Blindenergie (induktiv minus kapazitiv),in Zeitintervall,
