"id","measurand","submeasurand","phase","direction","kind","display_name_de","display_name_en","desc_de","desc_en","comment"
0,"Voltage",,"L1 N",,,,,,,
1,"Voltage",,"L2 N",,,,,,,
2,"Voltage",,"L3 N",,,,,,,
3,"Voltage",,"L1 L2",,,,,,,
4,"Voltage",,"L2 L3",,,,,,,
5,"Voltage",,"L3 L1",,,,,,,
6,"Voltage",,"L N Avg",,,,,,,
7,"Voltage",,"L L Avg",,,,,,,
8,"Voltage",,"DC",,,,,,,"Für Inverter/Batterie"
9,"Current",,"L1","Import","Register",,,,,"Import heißt Netz → Auto; Netz → Haus; Netz → PV. Das müsste beim YTL „forward“ sein"
10,"Current",,"L1","Import","Interval Avg",,,,,
11,"Current",,"L1","Import","Interval Max",,,,,
12,"Current",,"L1","Export","Register",,,,,"Export heißt Auto → Netz; Haus → Netz; PV → Netz. Das müsste beim YTL „reverse“ sein"
13,"Current",,"L1","Export","Interval Avg",,,,,
14,"Current",,"L1","Export","Interval Max",,,,,
15,"Current",,"L2","Import","Register",,,,,
16,"Current",,"L2","Import","Interval Avg",,,,,
17,"Current",,"L2","Import","Interval Max",,,,,
18,"Current",,"L2","Export","Register",,,,,
19,"Current",,"L2","Export","Interval Avg",,,,,
20,"Current",,"L2","Export","Interval Max",,,,,
21,"Current",,"L3","Import","Register",,,,,
22,"Current",,"L3","Import","Interval Avg",,,,,
23,"Current",,"L3","Import","Interval Max",,,,,
24,"Current",,"L3","Export","Register",,,,,
25,"Current",,"L3","Export","Interval Avg",,,,,
26,"Current",,"L3","Export","Interval Max",,,,,
27,"Current",,"N","Import","Register",,,,,
28,"Current",,"N","Import","Interval Avg",,,,,
29,"Current",,"N","Import","Interval Max",,,,,
30,"Current",,"N","Export","Register",,,,,
31,"Current",,"N","Export","Interval Avg",,,,,
32,"Current",,"N","Export","Interval Max",,,,,
33,"Current",,"L Avg","Import","Register",,,,,
34,"Current",,"L Avg","Import","Interval Avg",,,,,
35,"Current",,"L Avg","Import","Interval Max",,,,,
36,"Current",,"L Avg","Export","Register",,,,,
37,"Current",,"L Avg","Export","Interval Avg",,,,,
38,"Current",,"L Avg","Export","Interval Max",,,,,
39,"Current",,"L Sum","Import","Register",,,,,"L Sum-Current heißt „Three-phase Vector Sum Current“ (YTL); Also z.B. 10A L1 Import + 5A L2 Import + 0A L3 Import, wenn L3 gerade exportiert."
40,"Current",,"L Sum","Import","Interval Avg",,,,,
41,"Current",,"L Sum","Import","Interval Max",,,,,
42,"Current",,"L Sum","Export","Register",,,,,
43,"Current",,"L Sum","Export","Interval Avg",,,,,
44,"Current",,"L Sum","Export","Interval Max",,,,,
45,"Current",,"DC",,,,,,,"Für Inverter/Batterie"
46,"Power","Active","L Sum","Im Ex Sum","Register",,,,,"Kompatibel zu TotalSystemPower vom SDM72"
47,"Power","Active","L1","Import","Register",,,,,
48,"Power","Active","L1","Import","Interval Avg",,,,,
49,"Power","Active","L1","Import","Interval Max",,,,,
50,"Power","Active","L1","Export","Register",,,,,
51,"Power","Active","L1","Export","Interval Avg",,,,,
52,"Power","Active","L1","Export","Interval Max",,,,,
53,"Power","Active","L2","Import","Register",,,,,
54,"Power","Active","L2","Import","Interval Avg",,,,,
55,"Power","Active","L2","Import","Interval Max",,,,,
56,"Power","Active","L2","Export","Register",,,,,
57,"Power","Active","L2","Export","Interval Avg",,,,,
58,"Power","Active","L2","Export","Interval Max",,,,,
59,"Power","Active","L3","Import","Register",,,,,
60,"Power","Active","L3","Import","Interval Avg",,,,,
61,"Power","Active","L3","Import","Interval Max",,,,,
62,"Power","Active","L3","Export","Register",,,,,
63,"Power","Active","L3","Export","Interval Avg",,,,,
64,"Power","Active","L3","Export","Interval Max",,,,,
65,"Power","Active","L Avg","Import","Register",,,,,
66,"Power","Active","L Avg","Import","Interval Avg",,,,,
67,"Power","Active","L Avg","Import","Interval Max",,,,,
68,"Power","Active","L Avg","Export","Register",,,,,
69,"Power","Active","L Avg","Export","Interval Avg",,,,,
70,"Power","Active","L Avg","Export","Interval Max",,,,,
71,"Power","Active","L Sum","Import","Register",,,,,
72,"Power","Active","L Sum","Import","Interval Avg",,,,,
73,"Power","Active","L Sum","Import","Interval Max",,,,,
74,"Power","Active","L Sum","Export","Register",,,,,
75,"Power","Active","L Sum","Export","Interval Avg",,,,,
76,"Power","Active","L Sum","Export","Interval Max",,,,,
77,"Power","Reactive","L1","Import","Register",,,,,
