https://github.com/mozilla/gecko-dev/blob/master/netwerk/base/nsIOService.cpp#L115,https://fetch.spec.whatwg.org/#port-blocking,https://chromium.googlesource.com/chromium/src.git/+/refs/heads/master/net/base/port_util.cc
1,1,1
7,7,7
9,9,9
11,11,11
13,13,13
15,15,15
17,17,17
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
25,25,25
37,37,37
42,42,42
43,43,43
53,53,53
69,69,69
77,77,77
79,79,79
87,87,87
95,95,95
101,101,101
102,102,102
103,103,103
104,104,104
109,109,109
110,110,110
111,111,111
113,113,113
115,115,115
117,117,117
119,119,119
123,123,123
135,135,135
137,137,137
139,139,139
143,143,143
161,161,161
179,179,179
389,389,389
427,427,427
465,465,465
512,512,512
513,513,513
514,514,514
515,515,515
526,526,526
530,530,530
531,531,531
532,532,532
540,540,540
548,548,548
554,554,554
556,556,556
563,563,563
587,587,587
601,601,601
636,636,636
989,989,989
990,990,990
993,993,993
995,995,995
1719,1719,1719
1720,1720,1720
1723,1723,1723
2049,2049,2049
3659,3659,3659
4045,4045,4045
4190,4190,5060
5060,5060,5061
5061,5061,6000
6000,6000,6566
6566,6566,6665
6665,6665,6666
6666,6666,6667
6667,6667,6668
6668,6668,6669
6669,6669,6697
6679,6679,10080
6697,6697,
10080,10080,
